ID,country,subregion,region,date_of_first_stamp,date_of_first_historical_stamp,topic,theme,url,scott_catalogue_number,stanley_gibbons_catalogue_number,image_source,image_name,image_permalink
87,Israel ,Western Asia,Asia,1948,1949,1st Anniversary of Israeli Postage Stamps,Philately,https://www.stampworld.com/stamps/Israel/Postage-stamps/g0017//,16,16A,https://upload.wikimedia.org/wikipedia/he/b/b4/Stamp_of_Israel_-_Tabul_1949_-_10Pr.jpg,87-israel.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/87-israel.jpeg
88,Italy,Southern Europe,Europe,1861,1910,50th Anniversary of the Referendum in Naples,Constitutional,https://www.stampworld.com/stamps/Italy/Postage-stamps/g0092//,"117, 118","81, 82",https://i.ebayimg.com/images/g/9r4AAOSwZ1Rg-Z-O/s-l1600.webp,88-italy.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/88-italy.jpeg
89,Jamaica,Latin  America  and  the Caribbean,Americas,1860,1920,Columbus Landing in Jamaica,Discovery (Columbus),https://www.stampworld.com/stamps/Jamaica/Postage-stamps/g0080//,80,99a,https://i.ebayimg.com/images/g/NCgAAOSwg~tlsTZN/s-l1600.webp,89-jamaica.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/89-jamaica.jpeg
90,Japan,Eastern Asia,Asia,1871,1921,50th Anniversary of the Postal Service,Philately,https://www.stampworld.com/stamps/Japan/Postage-stamps/g0146//,163-166,50-51,https://i.ebayimg.com/images/g/x9QAAeSwl3loLlOg/s-l1600.webp,90-japan.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/90-japan.jpeg
91,Jordan ,Western Asia,Asia,1920,1964,Nubian Monuments,Culture,https://www.stampworld.com/stamps/Jordan/Postage-stamps/g0468//,463-465,595-597,https://cdn.collectorbazar.com/products/jordan-1964-nubian-monuments-preservation-mnh-440300-1.jpeg,91-jordan.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/91-jordan.jpeg
92,Kazakhstan,Central Asia,Asia,1992,1993,325th Anniversary of the Birth of Bukar Zhyrau Kalkaman-Uly,Creatives (Poet),https://www.stampworld.com/stamps/Kazakhstan/Postage-stamps/g0033//,39,27,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Kazakhstan_stamp_B.Z.Kalkaman-Uly_1993_15t.jpg/500px-Kazakhstan_stamp_B.Z.Kalkaman-Uly_1993_15t.jpg,92-kazakhstan.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/92-kazakhstan.jpeg
93,Kenya,Eastern Africa,Africa,1963,1977,25th Safari Rally - April 11th1977,Sports,https://www.stampworld.com/stamps/Kenya/Postage-stamps/g0076//,76-79,81-84,https://i.ebayimg.com/images/g/g4wAAOSwwRNi13IS/s-l1600.webp,93-kenya.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/93-kenya.jpeg
94,Kiribati,Micronesia,Oceania,1979,1983,The 40th Anniversary of Battle of Tarawa,Military,https://www.stampworld.com/stamps/Kiribati/Postage-stamps/g0109//,631-5,210-214,https://i.ebayimg.com/images/g/acYAAOSw7qplkaMm/s-l1600.webp,94-kiribati.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/94-kiribati.jpeg
95,Korea (DR),Eastern Asia,Asia,1946,1946,The 1st Anniversary of Liberation from Japan,Leaders (Political),https://www.stampworld.com/stamps/North-Korea/Postage-stamps/g0007//,6,N6,https://www.stampcommunity.org/uploaded/battlestamps/20161215_64499_opt.jpg,95-koreadr.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/95-koreadr.jpeg
96,Korea (Rep),Eastern Asia,Asia,1946,1946,The 1st Anniversary of the Liberation,Independence (National Symbols),https://www.stampworld.com/stamps/South-Korea/Postage-stamps/g0013//,61-66,75-80,https://upload.wikimedia.org/wikipedia/commons/8/87/Commemorative_stamps_released_by_Japan%27s_colonial_rule_of_Korea.jpg,96-korearep.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/96-korearep.jpeg
